x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-1.17E-08,-4.44E-16,9.684944,23.54308766,87.29041557,78.66329193,3.216,820,2085394
6.54E-10,-9.99E-16,9.781108,23.54308766,87.29041557,78.66329193,3.216,820,2085402
0.1322627,-1.396438,9.282115,23.54308766,87.29041557,78.66329193,3.216,820,2085412
1.30E-08,-8.88E-16,9.651604,23.54308766,87.29041557,78.66329193,3.216,820,2085419
5.50E-10,8.88E-16,9.803644,23.54308766,87.29041557,78.66329193,3.216,820,2085450
6.22E-09,-2.22E-16,9.432728,23.54308766,87.29041557,78.66329193,3.216,820,2085454
-1.28E-08,-1.11E-15,9.5761,23.54308766,87.29041557,78.66329193,3.216,820,2085489
2.24E-09,-6.66E-16,9.628386,23.54308766,87.29041557,78.66329193,3.216,820,2085494
-9.32E-09,4.44E-16,9.546365,23.54308766,87.29041557,78.66329193,3.216,820,2085527
-4.40E-09,-6.66E-16,9.477408,23.54308766,87.29041557,78.66329193,3.216,820,2085534
-4.40E-09,-6.66E-16,9.477408,23.54308766,87.29041557,78.66329193,3.216,857,2085546
1.46E-08,1.11E-15,9.564889,23.54308766,87.29041557,78.66329193,3.216,857,2085566
0.03375137,-0.06568918,9.531203,23.54308766,87.29041557,78.66329193,3.216,857,2085572
0.0628937,-0.2999776,9.509285,23.54308774,87.29041563,78.66329193,3.216,857,2085609
0.06547015,0.16231878,9.604992,23.54308774,87.29041563,78.66329193,3.216,857,2085626
0.14374635,-0.14717105,9.529694,23.54308774,87.29041563,78.66329193,3.216,857,2085642
0.05973088,-0.016298812,9.599492,23.54308774,87.29041563,78.66329193,3.216,857,2085652
0.12753819,-0.16123252,9.513406,23.54308774,87.29041563,78.66329193,3.216,857,2085681
0.10796664,0.12197633,9.608849,23.54308774,87.29041563,78.66329193,3.216,857,2085694
0.10796664,0.12197633,9.608849,23.54308774,87.29041563,78.66329193,3.216,810,2085707
0.15510342,-0.13594554,9.486185,23.54308774,87.29041563,78.66329193,3.216,810,2085720
0.10554685,-0.08700102,9.545447,23.54308774,87.29041563,78.66329193,3.216,810,2085732
0.05581217,-0.0804821,9.52672,23.54308774,87.29041563,78.66329193,3.216,810,2085757
-0.005641073,-0.19896303,9.512892,23.54308774,87.29041563,78.66329193,3.216,810,2085764
-0.005641073,-0.19896303,9.512892,23.54308774,87.29041563,78.66329193,3.216,849,2085766
-0.04306264,0.06829095,9.60212,23.54308774,87.29041563,78.66329193,3.216,849,2085797
-0.026503894,-0.16097313,9.547325,23.54308774,87.29041563,78.66329193,3.216,849,2085811
-0.06353956,0.007791777,9.575622,23.54308774,87.29041563,78.66329193,3.216,849,2085835
-0.06706611,-0.07411045,9.570837,23.54308774,87.29041563,78.66329193,3.216,849,2085848
-0.054587115,-0.10333353,9.547906,23.54308774,87.29041563,78.66329193,3.216,849,2085872
-0.054587115,-0.10333353,9.547906,23.54308774,87.29041563,78.66329193,3.216,924,2085881
-0.05357852,-0.06871245,9.582832,23.54308774,87.29041563,78.66329193,3.216,924,2085914
