bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-1.692578E-8,-2.220446E-16,9.434227,23.54334878,87.29010992,-42.14168167114258,3.216,762.0,2154238,0
-1.692578E-8,-2.220446E-16,9.434227,23.54334878,87.29010992,-42.14168167114258,3.216,730.0,2154244,0
-1.9704926E-8,-7.771561E-16,9.729196,23.54334878,87.29010992,-42.14168167114258,3.216,730.0,2154246,0
2.9653489E-8,1.110223E-16,9.921729,23.54334878,87.29010992,-42.14168167114258,3.216,730.0,2154276,0
0.09096852,-1.9887868,9.097892,23.54334878,87.29010992,-42.14168167114258,3.216,730.0,2154280,0
9.790668E-9,1.110223E-15,9.543317,23.54334878,87.29010992,-42.14168167114258,3.216,730.0,2154300,0
-1.2905545E-8,-5.551115E-16,9.761665,23.54334878,87.29010992,-42.14168167114258,3.216,730.0,2154304,0
-1.2905545E-8,-5.551115E-16,9.761665,23.54334878,87.29010992,-42.14168167114258,3.216,696.0,2154314,0
-2.2853465E-8,0.0,9.611645,23.54334878,87.29010992,-42.14168167114258,3.216,696.0,2154339,0
0.12214744,-0.45285934,9.356417,23.54334878,87.29010992,-42.14168167114258,3.216,696.0,2154346,0
1.2279789E-8,-6.661338E-16,9.60034,23.54334878,87.29010992,-42.14168167114258,3.216,696.0,2154378,0
-6.340194E-10,-4.440892E-16,9.655543,23.54334878,87.29010992,-42.14168167114258,3.216,696.0,2154386,0
0.04858897,-1.2082112,9.262505,23.54334878,87.29010992,-42.14168167114258,3.216,696.0,2154415,0
9.471738E-9,-4.440892E-16,9.655886,23.54334878,87.29010992,-42.14168167114258,3.216,696.0,2154433,0
9.471738E-9,-4.440892E-16,9.655886,23.54334878,87.29010992,-42.14168167114258,3.216,679.0,2154448,0
0.03685269,-0.16260858,9.5793915,23.54334878,87.29010992,-42.14168167114258,3.216,679.0,2154454,0
0.105625816,-0.6627059,9.349961,23.54334878,87.29010992,-42.14168167114258,3.216,679.0,2154455,0
0.060534164,-0.65496904,9.449204,23.54334878,87.29010992,-42.14168167114258,3.216,679.0,2154494,0
0.029943733,0.0025997828,9.675108,23.54334878,87.29010992,-42.14168167114258,3.216,679.0,2154511,0
0.10251142,-0.6881068,9.4384365,23.54334878,87.29010992,-42.14168167114258,3.216,679.0,2154533,0
0.048141748,-0.66867465,9.447306,23.54334878,87.29010992,-42.14168167114258,3.216,679.0,2154551,0
0.048141748,-0.66867465,9.447306,23.54334878,87.29010992,-42.14168167114258,3.216,695.0,2154560,0
0.0024324225,-0.21662456,9.614047,23.54334878,87.29010992,-42.14168167114258,3.216,695.0,2154569,0
-0.052290104,-0.40019575,9.552054,23.54334878,87.29010992,-42.14168167114258,3.216,695.0,2154577,0
-0.025473362,-0.75809586,9.423022,23.54334982,87.29010438,-42.14168167114258,3.216,695.0,2154607,0
-0.037176937,-0.36956805,9.570915,23.54334982,87.29010438,-42.14168167114258,3.216,695.0,2154620,0
-0.076470554,-0.25319853,9.570658,23.54334982,87.29010438,-42.14168167114258,3.216,695.0,2154647,0
-0.06921426,-0.6621939,9.44948,23.54334982,87.29010438,-42.14168167114258,3.216,695.0,2154668,0
-0.06921426,-0.6621939,9.44948,23.54334982,87.29010438,-42.14168167114258,3.216,741.0,2154687,0
-0.13916177,-0.4223286,9.571829,23.54334982,87.29010438,-42.14168167114258,3.216,741.0,2154701,0
-0.17555696,-0.1915368,9.63668,23.54334982,87.29010438,-42.14168167114258,3.216,741.0,2154714,0
-0.21211748,-0.399159,9.565226,23.54334982,87.29010438,-42.14168167114258,3.216,741.0,2154732,0
-0.21211748,-0.399159,9.565226,23.54334982,87.29010438,-42.14168167114258,3.216,797.0,2154756,0
-0.2533355,-0.3901024,9.544883,23.54334982,87.29010438,-42.14168167114258,3.216,797.0,2154774,0
-0.27998662,-0.19791992,9.591406,23.54334982,87.29010438,-42.14168167114258,3.216,797.0,2154789,0
-0.38354242,-0.52933526,9.5366955,23.54334982,87.29010438,-42.14168167114258,3.216,797.0,2154813,0
-0.23218201,-0.60958296,9.403237,23.54334982,87.29010438,-42.14168167114258,3.216,797.0,2154821,0
-0.3338468,-0.40921372,9.633525,23.54334982,87.29010438,-42.14168167114258,3.216,797.0,2154839,0
-0.29973844,-0.34373116,9.570532,23.54334982,87.29010438,-42.14168167114258,3.216,797.0,2154854,0
-0.29973844,-0.34373116,9.570532,23.54334982,87.29010438,-42.14168167114258,3.216,835.0,2154871,0
-0.29444447,-0.4640082,9.57815,23.54334982,87.29010438,-42.14168167114258,3.216,835.0,2154885,0
-0.3423097,-0.1454271,9.64864,23.54334982,87.29010438,-42.14168167114258,3.216,835.0,2154892,0
-0.30855793,-0.13510826,9.578829,23.54334982,87.29010438,-42.14168167114258,3.216,835.0,2154916,0
-0.3545676,-0.41250458,9.581839,23.54334982,87.29010438,-42.14168167114258,3.216,835.0,2154931,0
-0.3545676,-0.41250458,9.581839,23.54334982,87.29010438,-42.14168167114258,3.216,857.0,2154945,0
-0.2114224,-0.31698176,9.510788,23.54334982,87.29010438,-42.14168167114258,3.216,857.0,2154954,0
-0.1909409,-0.3813526,9.529117,23.54334982,87.29010438,-42.14168167114258,3.216,857.0,2154958,0
-0.16571364,-0.3253717,9.482514,23.54334982,87.29010438,-42.14168167114258,3.216,857.0,2154992,0
-0.1904065,-0.7606834,9.349054,23.54334982,87.29010438,-42.14168167114258,3.216,857.0,2155005,0
-0.2537921,-0.41803366,9.643934,23.54334982,87.29010438,-42.14168167114258,3.216,857.0,2155030,0
-0.22045101,-0.6266252,9.446607,23.54334982,87.29010438,-42.14168167114258,3.216,857.0,2155048,0
-0.22045101,-0.6266252,9.446607,23.54334982,87.29010438,-42.14168167114258,3.216,907.0,2155069,0
-0.17037657,-0.5785905,9.448933,23.54334982,87.29010438,-42.14168167114258,3.216,907.0,2155085,0
-0.3087691,-0.018616034,9.625402,23.54334982,87.29010438,-42.14168167114258,3.216,907.0,2155092,0
-0.38187674,-0.37927127,9.588867,23.54334982,87.29010438,-42.14168167114258,3.216,907.0,2155109,0
-0.37762457,-0.25713208,9.612618,23.54334982,87.29010438,-42.14168167114258,3.216,907.0,2155120,0
-0.32839525,-0.40019295,9.528498,23.54334982,87.29010438,-42.14168167114258,3.216,907.0,2155144,0
-0.2486466,-0.2553141,9.583645,23.54334982,87.29010438,-42.14168167114258,3.216,907.0,2155151,0
-0.2486466,-0.2553141,9.583645,23.54334982,87.29010438,-42.14168167114258,3.216,981.0,2155153,0
-0.22987786,-0.39009303,9.52546,23.54334982,87.29010438,-42.14168167114258,3.216,981.0,2155182,0
-0.19510871,-0.5082355,9.486874,23.54334982,87.29010438,-42.14168167114258,3.216,981.0,2155193,0
-0.26256368,-0.36012238,9.549743,23.54334982,87.29010438,-42.14168167114258,3.216,981.0,2155222,0
-0.26256368,-0.36012238,9.549743,23.54334982,87.29010438,-42.14168167114258,3.216,1036.0,2155233,0
-0.32261986,-0.5724097,9.425656,23.54334982,87.29010438,-42.14168167114258,3.216,1036.0,2155259,0
-0.3891618,-0.5353734,9.497609,23.54334982,87.29010438,-42.14168167114258,3.216,1036.0,2155266,0
-0.44058573,-0.34212056,9.635751,23.54334982,87.29010438,-42.14168167114258,3.216,1036.0,2155298,0
-0.43675944,-0.16538116,9.641574,23.54334982,87.29010438,-42.14168167114258,3.216,1036.0,2155312,0
-0.45475975,-0.2682847,9.596626,23.54334982,87.29010438,-42.14168167114258,3.216,1036.0,2155336,0
-0.469522,-0.25409013,9.608764,23.54334982,87.29010438,-42.14168167114258,3.216,1036.0,2155346,0
-0.469522,-0.25409013,9.608764,23.54334982,87.29010438,-42.14168167114258,3.216,1080.0,2155347,0
-0.42994207,-0.54819643,9.533174,23.54334982,87.29010438,-42.14168167114258,3.216,1080.0,2155376,0
-0.40957206,-0.6755293,9.481276,23.54334982,87.29010438,-42.14168167114258,3.216,1080.0,2155390,0
-0.43000782,-0.51479924,9.501001,23.54334982,87.29010438,-42.14168167114258,3.216,1080.0,2155414,0
-0.4721561,-0.52784216,9.528965,23.54334982,87.29010438,-42.14168167114258,3.216,1080.0,2155428,0
-0.4721561,-0.52784216,9.528965,23.54334982,87.29010438,-42.14168167114258,3.216,1107.0,2155435,0
-0.5029597,-0.3257363,9.557912,23.54334982,87.29010438,-42.14168167114258,3.216,1107.0,2155452,0
-0.5327408,-0.64468944,9.474436,23.54334982,87.29010438,-42.14168167114258,3.216,1107.0,2155462,0
-0.59568256,-0.40684688,9.546641,23.54334982,87.29010438,-42.14168167114258,3.216,1107.0,2155494,0
-0.63742894,-0.35343626,9.597973,23.54334982,87.29010438,-42.14168167114258,3.216,1107.0,2155517,0
-0.50225616,-0.41552794,9.4740715,23.54334982,87.29010438,-42.14168167114258,3.216,1107.0,2155538,0
-0.5417483,-0.21427612,9.626038,23.54334982,87.29010438,-42.14168167114258,3.216,1107.0,2155549,0
-0.5417483,-0.21427612,9.626038,23.54334982,87.29010438,-42.14168167114258,3.216,1120.0,2155557,0
-0.5466784,-0.30879694,9.660992,23.54334982,87.29010438,-42.14168167114258,3.216,1120.0,2155568,0
-0.599383,-0.20735705,9.6455555,23.54334982,87.29010438,-42.14168167114258,3.216,1120.0,2155578,0
-0.55897623,-0.58161217,9.491083,23.54334982,87.29010438,-42.14168167114258,3.216,1120.0,2155607,0
-0.52829945,-0.5568397,9.456039,23.54334982,87.29010438,-42.14168167114258,3.216,1120.0,2155625,0
-0.584125,-0.38971257,9.546898,23.54334966,87.290103,-42.14168167114258,3.216,1120.0,2155644,0
-0.55500233,-0.4107971,9.479874,23.54334966,87.290103,-42.14168167114258,3.216,1120.0,2155654,0
-0.55500233,-0.4107971,9.479874,23.54334966,87.290103,-42.14168167114258,3.216,1101.0,2155656,0
-0.5035445,-0.25510904,9.577542,23.54334966,87.290103,-42.14168167114258,3.216,1101.0,2155681,0
-0.6037055,-1.0359678,9.322783,23.54334966,87.290103,-42.14168167114258,3.216,1101.0,2155720,0
-0.5514959,0.093030065,9.775362,23.54334966,87.290103,-42.14168167114258,3.216,1101.0,2155739,0
-0.5514959,0.093030065,9.775362,23.54334966,87.290103,-42.14168167114258,3.216,1050.0,2155751,0
-0.6003429,-0.33727714,9.578659,23.54334966,87.290103,-42.14168167114258,3.216,1050.0,2155760,0
-0.44067642,-0.81797576,9.326396,23.54334966,87.290103,-42.14168167114258,3.216,1050.0,2155761,0
-0.7358879,-0.07052323,9.77537,23.54334966,87.290103,-42.14168167114258,3.216,1050.0,2155799,0
-0.5789721,-0.26777643,9.608343,23.54334966,87.290103,-42.14168167114258,3.216,1050.0,2155820,0
-0.5069136,-0.6772719,9.40256,23.54334966,87.290103,-42.14168167114258,3.216,1050.0,2155836,0
-0.54174787,-0.11424186,9.635207,23.54334966,87.290103,-42.14168167114258,3.216,1050.0,2155852,0
-0.54174787,-0.11424186,9.635207,23.54334966,87.290103,-42.14168167114258,3.216,1003.0,2155866,0
-0.38512313,-0.6302177,9.390288,23.54334966,87.290103,-42.14168167114258,3.216,1003.0,2155880,0
-0.5263243,-0.63144904,9.58653,23.54334966,87.290103,-42.14168167114258,3.216,1003.0,2155891,0
-0.41838193,-0.062626496,9.654703,23.54334966,87.290103,-42.14168167114258,3.216,1003.0,2155914,0
-0.53314465,-0.8805709,9.416843,23.54334966,87.290103,-42.14168167114258,3.216,1003.0,2155923,0
-0.53314465,-0.8805709,9.416843,23.54334966,87.290103,-42.14168167114258,3.216,966.0,2155926,0
-0.44415376,-0.010355218,9.6771145,23.54334966,87.290103,-42.14168167114258,3.216,966.0,2155950,0
